,Source,Time Stamp,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score
0,BBCWorld,Wed Aug 01 20:56:18 +0000 2018,The moment a passenger plane crashed in Mexico has been captured on video — thankfully all 103 people on board surv… https://t.co/w2xVUcDz5I,0.4215,0.128,0.872,0.0
1,BBCWorld,Wed Aug 01 20:14:58 +0000 2018,New Zealand PM Jacinda Ardern returns from maternity leave https://t.co/n98cTOtfWq,-0.0516,0.0,0.882,0.118
2,BBCWorld,Wed Aug 01 19:48:28 +0000 2018,RT @BBCNews: Passengers were forced to evacuate a Ryanair flight after a mobile phone connected to an external battery pack burst into flam…,-0.4588,0.0,0.87,0.13
3,BBCWorld,Wed Aug 01 19:31:55 +0000 2018,Jewellery thefts that shocked the world https://t.co/rnS0PY4ZlB,-0.3182,0.0,0.723,0.277
4,BBCWorld,Wed Aug 01 19:02:10 +0000 2018,US hits Turkish ministers with sanctions over pastor Andrew Brunson https://t.co/jFfrpwyLfe,0.0,0.0,1.0,0.0
5,BBCWorld,Wed Aug 01 18:45:13 +0000 2018,McDonald's serves pregnant Canadian cleaning fluid latte https://t.co/QoFAExuDJN,0.0,0.0,1.0,0.0
6,BBCWorld,Wed Aug 01 18:29:39 +0000 2018,Ethiopia's exiled patriarch Bishop Merkorios returns https://t.co/91Z5uZ5zyR,0.0,0.0,1.0,0.0
7,BBCWorld,Wed Aug 01 18:22:05 +0000 2018,Shifted sands reveal Roman settlement in Alderney https://t.co/PcpyAU4wE9,0.0,0.0,1.0,0.0
8,BBCWorld,Wed Aug 01 18:17:26 +0000 2018,"""We had just taken off then the plane fell"" — passengers on an Aeroméxico flight that crashed in Mexico describe wh… https://t.co/qcfy1jW8TL",0.0,0.0,1.0,0.0
9,BBCWorld,Wed Aug 01 17:31:12 +0000 2018,French rappers Booba and Kaaris brawl at Paris airport https://t.co/tbvLsBRmef,0.0,0.0,1.0,0.0
10,BBCWorld,Wed Aug 01 17:12:34 +0000 2018,Chinese takeover of German firm Leifeld collapses https://t.co/O4BWWIx6G8,-0.296,0.0,0.761,0.239
11,BBCWorld,Wed Aug 01 16:52:48 +0000 2018,In pictures: Zimbabwe election protesters clash with police https://t.co/hgy88mAoSF,-0.2263,0.0,0.808,0.192
12,BBCWorld,Wed Aug 01 16:36:25 +0000 2018,'Disappearance' of top Chinese actress Fan Bingbing concerns fans https://t.co/9PV6o5jmEO,0.4767,0.339,0.661,0.0
13,BBCWorld,Wed Aug 01 16:19:17 +0000 2018,Trump demands Russia probe end 'right now' https://t.co/dxNJ8aL4p4,0.0,0.0,1.0,0.0
14,BBCWorld,Wed Aug 01 16:05:00 +0000 2018,Canada's Ontario government cuts basic income project short https://t.co/aqZAvvnxt5,-0.296,0.0,0.784,0.216
15,BBCWorld,Wed Aug 01 15:09:43 +0000 2018,"👣👣👣

""Imagine, if you would, a world without feet"" - Commuters in Toronto are getting travel tips from a very famou… https://t.co/jKGFIm50x4",0.0,0.0,1.0,0.0
16,BBCWorld,Wed Aug 01 14:48:28 +0000 2018,Tajikistan attack: Four cyclists mown down are identified https://t.co/SgkM9D0G95,-0.4767,0.0,0.721,0.279
17,BBCWorld,Wed Aug 01 14:35:31 +0000 2018,Zimbabwe election: MDC Alliance supporters in Harare clashes https://t.co/aon26GND5M,0.4404,0.266,0.734,0.0
18,BBCWorld,Wed Aug 01 14:12:05 +0000 2018,How likely are you to survive a plane crash? https://t.co/RouWcuAwgh,-0.4019,0.0,0.748,0.252
19,BBCWorld,Wed Aug 01 13:37:54 +0000 2018,Jellyfish sting dozens as Germany and Sweden battle plague https://t.co/Bn5L4zqrdV,-0.3818,0.0,0.776,0.224
20,BBCWorld,Wed Aug 01 13:27:17 +0000 2018,Greek wildfires: Failures revealed after Mati disaster https://t.co/wSIUcaaBZQ,-0.7964,0.0,0.458,0.542
21,BBCWorld,Wed Aug 01 13:08:41 +0000 2018,Stranded Russian climber 'hallucinated' during Pakistan ordeal https://t.co/NWV72mRByf,0.0,0.0,1.0,0.0
22,BBCWorld,Wed Aug 01 13:03:35 +0000 2018,Dengue fever outbreak stopped by special mosquitoes https://t.co/S85hOEmFMU,0.2023,0.255,0.566,0.179
23,BBCWorld,Wed Aug 01 12:41:25 +0000 2018,Ex-warlord Jean-Pierre Bemba welcomed home to DR Congo https://t.co/cRslQb54eJ,0.34,0.231,0.769,0.0
24,BBCWorld,Wed Aug 01 12:12:37 +0000 2018,Trump claims Americans need ID to go shopping https://t.co/RQn7pKP2iu,0.0,0.0,1.0,0.0
25,BBCWorld,Wed Aug 01 11:01:43 +0000 2018,Korea remains: US finds one 'dog tag' among war dead returned by North Korea https://t.co/9i51sSyu1t,-0.8481,0.0,0.613,0.387
26,BBCWorld,Wed Aug 01 10:59:06 +0000 2018,Joey Dunlop's TT winning outfit to be auctioned https://t.co/RdYVrSQ7HE,0.5267,0.298,0.702,0.0
27,BBCWorld,Wed Aug 01 10:57:05 +0000 2018,RT @BBCBusiness: Tesla boss Elon Musk facing two lawsuits https://t.co/zKpL6HWAkb,-0.1531,0.0,0.849,0.151
28,BBCWorld,Wed Aug 01 10:30:23 +0000 2018,Democratic Republic of Congo profile - Timeline https://t.co/oqZhVjdxa3,0.0,0.0,1.0,0.0
29,BBCWorld,Wed Aug 01 10:28:03 +0000 2018,DR Congo country profile https://t.co/5GrFJeyX4p,0.0,0.0,1.0,0.0
30,BBCWorld,Wed Aug 01 10:04:12 +0000 2018,Machu Picchu train crash: Collision injures 15 tourists in Peru https://t.co/CgcT7b4KWw,-0.6369,0.0,0.634,0.366
31,BBCWorld,Wed Aug 01 09:50:19 +0000 2018,Koreans turn to ice vests and hot soup in record Seoul heat https://t.co/mbS1uVrvqT,0.0,0.0,1.0,0.0
32,BBCWorld,Wed Aug 01 09:17:13 +0000 2018,RT @BBCAfrica: Zimbabwe elections: The bones that haunt the country https://t.co/lUZQPIOUlg https://t.co/WBA5rJ5yJZ,-0.4019,0.0,0.803,0.197
